city,state_id,lat,lng
New York,NY,40.6943,-73.9249
Los Angeles,CA,34.1141,-118.4068
Chicago,IL,41.8375,-87.6866
Miami,FL,25.7840,-80.2101
Dallas,TX,32.7935,-96.7667
Houston,TX,29.7860,-95.3885
Philadelphia,PA,40.0077,-75.1339
Atlanta,GA,33.7628,-84.4220
Washington D.C.,DC,38.9047,-77.0163
Boston,MA,42.3188,-71.0852
Phoenix,AZ,33.5722,-112.0892
Detroit,MI,42.3834,-83.1024
Seattle,WA,47.6211,-122.3244
San Francisco,CA,37.7558,-122.4449
San Diego,CA,32.8313,-117.1222
Minneapolis,MN,44.9635,-93.2678
Brooklyn,NY,40.6501,-73.9496
Tampa,FL,27.9945,-82.4447
Denver,CO,39.7620,-104.8758
Queens,NY,40.7498,-73.7976
Baltimore,MD,39.3051,-76.6144
Las Vegas,NV,36.2333,-115.2654
St. Louis,MO,38.6359,-90.2451
Portland,OR,45.5371,-122.6500
Riverside,CA,33.9381,-117.3949
Orlando,FL,28.4773,-81.3370
Sacramento,CA,38.5677,-121.4685
San Juan,PR,18.3985,-66.0610
San Antonio,TX,29.4632,-98.5238
San Jose,CA,37.3012,-121.8480
Pittsburgh,PA,40.4397,-79.9763
Cincinnati,OH,39.1413,-84.5060
Manhattan,NY,40.7834,-73.9662
Cleveland,OH,41.4764,-81.6805
Indianapolis,IN,39.7771,-86.1458
Austin,TX,30.3005,-97.7522
Kansas City,MO,39.1238,-94.5541
Columbus,OH,39.9862,-82.9855
Charlotte,NC,35.2083,-80.8303
Virginia Beach,VA,36.7335,-76.0435
Bronx,NY,40.8501,-73.8662
Milwaukee,WI,43.0642,-87.9675
Providence,RI,41.8230,-71.4187
Jacksonville,FL,30.3322,-81.6749
Salt Lake City,UT,40.7776,-111.9311
Nashville,TN,36.1715,-86.7842
Raleigh,NC,35.8324,-78.6429
Memphis,TN,35.1087,-89.9663
Louisville,KY,38.1663,-85.6485
Richmond,VA,37.5295,-77.4756
Buffalo,NY,42.9018,-78.8487
Oklahoma City,OK,35.4676,-97.5136
Bridgeport,CT,41.1918,-73.1954
New Orleans,LA,30.0687,-89.9288
Fort Worth,TX,32.7817,-97.3474
Hartford,CT,41.7661,-72.6834
Tucson,AZ,32.1541,-110.8787
Honolulu,HI,21.3294,-157.8460
McAllen,TX,26.2252,-98.2467
Omaha,NE,41.2627,-96.0529
El Paso,TX,31.8476,-106.4300
Hempstead,NY,40.6629,-73.6089
Albuquerque,NM,35.1054,-106.6465
Rochester,NY,43.1680,-77.6162
Sarasota,FL,27.3387,-82.5432
Fresno,CA,36.7830,-119.7939
Tulsa,OK,36.1283,-95.9042
Allentown,PA,40.5961,-75.4756
Dayton,OH,39.7805,-84.2003
Birmingham,AL,33.5279,-86.7971
Charleston,SC,32.8168,-79.9687
Cape Coral,FL,26.6443,-81.9957
Columbia,SC,34.0378,-80.9036
Concord,CA,37.9722,-122.0016
Colorado Springs,CO,38.8674,-104.7605
Springfield,MA,42.1155,-72.5395
Knoxville,TN,35.9692,-83.9496
Baton Rouge,LA,30.4420,-91.1311
Ogden,UT,41.2279,-111.9682
Grand Rapids,MI,42.9619,-85.6562
Albany,NY,42.6664,-73.7987
Bakersfield,CA,35.3529,-119.0359
Mission Viejo,CA,33.6096,-117.6551
New Haven,CT,41.3113,-72.9246
Worcester,MA,42.2705,-71.8079
Provo,UT,40.2457,-111.6457
Akron,OH,41.0798,-81.5219
Palm Bay,FL,27.9631,-80.6593
Des Moines,IA,41.5725,-93.6105
Murrieta,CA,33.5719,-117.1909
Mesa,AZ,33.4015,-111.7178
Staten Island,NY,40.5834,-74.1496
Wichita,KS,37.6895,-97.3443
Toledo,OH,41.6638,-83.5827
Brookhaven,NY,40.8320,-72.9517
Harrisburg,PA,40.2752,-76.8843
Port St. Lucie,FL,27.2796,-80.3884
Long Beach,CA,33.7977,-118.1670
Reno,NV,39.5497,-119.8483
Madison,WI,43.0822,-89.3930
Little Rock,AR,34.7256,-92.3577
Greenville,SC,34.8354,-82.3646
Denton,TX,33.2175,-97.1418
Spokane,WA,47.6671,-117.4330
Oakland,CA,37.7904,-122.2166
Lancaster,PA,40.0420,-76.3012
Poughkeepsie,NY,41.6950,-73.9211
Boise,ID,43.6005,-116.2308
Winston-Salem,NC,36.1029,-80.2610
Syracuse,NY,43.0407,-76.1437
Augusta,GA,33.3645,-82.0708
Stockton,CA,37.9765,-121.3109
Palm Coast,FL,29.5389,-81.2457
Chattanooga,TN,35.0660,-85.2481
Kissimmee,FL,28.3041,-81.4169
Durham,NC,35.9792,-78.9022
Arlington,TX,32.6998,-97.1250
Victorville,CA,34.5277,-117.3536
Aurora,CO,39.7083,-104.7237
Modesto,CA,37.6375,-121.0028
Lancaster,CA,34.6935,-118.1753
Fayetteville,AR,36.0714,-94.1661
Scranton,PA,41.4044,-75.6649
Oxnard,CA,34.1964,-119.1815
Youngstown,OH,41.0993,-80.6463
Indio,CA,33.7346,-116.2346
Pensacola,FL,30.4413,-87.1911
Anaheim,CA,33.8390,-117.8574
Bonita Springs,FL,26.3558,-81.7859
Greensboro,NC,36.0956,-79.8271
Islip,NY,40.7385,-73.1888
Huntsville,AL,34.6981,-86.6412
Corpus Christi,TX,27.7254,-97.3767
Fort Wayne,IN,41.0888,-85.1436
Fayetteville,NC,35.0850,-78.9772
Ann Arbor,MI,42.2759,-83.7310
Jackson,MS,32.3157,-90.2125
Antioch,CA,37.9787,-121.7960
Mobile,AL,30.6782,-88.1162
Lexington,KY,38.0423,-84.4587
Asheville,NC,35.5707,-82.5537
Trenton,NJ,40.2237,-74.7641
Santa Rosa,CA,38.4458,-122.7067
Santa Ana,CA,33.7367,-117.8819
Lansing,MI,42.7142,-84.5601
Henderson,NV,36.0133,-115.0381
St. Paul,MN,44.9478,-93.1039
Lakeland,FL,28.0557,-81.9545
Newark,NJ,40.7245,-74.1725
Fort Collins,CO,40.5477,-105.0656
Oyster Bay,NY,40.7846,-73.5140
Reading,PA,40.3400,-75.9267
Springfield,MO,37.1943,-93.2916
Irvine,CA,33.6772,-117.7738
Anchorage,AK,61.1508,-149.1091
The Woodlands,TX,30.1738,-95.5134
South Bend,IN,41.6767,-86.2696
Rockford,IL,42.2596,-89.0640
Savannah,GA,32.0286,-81.1821
Lincoln,NE,40.8099,-96.6784
Jersey City,NJ,40.7184,-74.0686
Round Lake Beach,IL,42.3791,-88.0811
Flint,MI,43.0236,-83.6921
Shreveport,LA,32.4653,-93.7955
Plano,TX,33.0502,-96.7486
Myrtle Beach,SC,33.7094,-78.8844
Davenport,IA,41.5565,-90.6053
Canton,OH,40.8078,-81.3676
Santa Clarita,CA,34.4175,-118.4964
Chula Vista,CA,32.6281,-117.0144
Eugene,OR,44.0564,-123.1174
Chandler,AZ,33.2825,-111.8514
Salem,OR,44.9233,-123.0244
Concord,NC,35.3933,-80.6369
Gilbert,AZ,33.3100,-111.7463
Columbus,GA,32.5100,-84.8771
Aguadilla,PR,18.4382,-67.1537
Lubbock,TX,33.5657,-101.8879
North Las Vegas,NV,36.2883,-115.0888
St. Petersburg,FL,27.7931,-82.6652
Tallahassee,FL,30.4551,-84.2527
Laredo,TX,27.5625,-99.4874
Peoria,IL,40.7520,-89.6154
Avondale,AZ,33.3873,-112.3235
Lafayette,LA,30.2082,-92.0325
Irving,TX,32.8583,-96.9702
Montgomery,AL,32.3482,-86.2668
Visalia,CA,36.3276,-119.3269
McKinney,TX,33.2016,-96.6670
Wilmington,NC,34.2099,-77.8866
Chesapeake,VA,36.6778,-76.3023
Glendale,AZ,33.5791,-112.2311
Garland,TX,32.9100,-96.6304
Kennewick,WA,46.1978,-119.1732
Winter Haven,FL,28.0118,-81.7014
Scottsdale,AZ,33.6872,-111.8651
Norfolk,VA,36.8945,-76.2590
Killeen,TX,31.0753,-97.7297
North Hempstead,NY,40.7912,-73.6688
York,PA,39.9651,-76.7315
Atlantic City,NJ,39.3797,-74.4527
Nashua,NH,42.7491,-71.4910
Arlington,VA,38.8786,-77.1011
Brownsville,TX,25.9975,-97.4580
Fremont,CA,37.5265,-121.9843
Gulfport,MS,30.4274,-89.0704
Evansville,IN,37.9881,-87.5341
Hialeah,FL,25.8696,-80.3045
Navarre,FL,30.4174,-86.8907
Bel Air South,MD,39.5022,-76.3113
North Port,FL,27.0576,-82.1977
San Bernardino,CA,34.1416,-117.2943
Portland,ME,43.6773,-70.2715
Enterprise,NV,36.0091,-115.2278
Bremerton,WA,47.5436,-122.7121
Green Bay,WI,44.5148,-87.9895
Appleton,WI,44.2780,-88.3892
Babylon,NY,40.6925,-73.3586
Spring Valley,NV,36.0952,-115.2636
Tacoma,WA,47.2431,-122.4531
Spartanburg,SC,34.9442,-81.9251
Roanoke,VA,37.2785,-79.9581
Gainesville,FL,29.6804,-82.3459
Deltona,FL,28.9050,-81.2137
Kalamazoo,MI,42.2749,-85.5882
Thousand Oaks,CA,34.1914,-118.8756
Hickory,NC,35.7410,-81.3223
Yonkers,NY,40.9466,-73.8673
Moreno Valley,CA,33.9244,-117.2045
Fontana,CA,34.0968,-117.4599
College Station,TX,30.5852,-96.2959
Fargo,ND,46.8651,-96.8292
Amarillo,TX,35.1984,-101.8316
Huntington,NY,40.8521,-73.3823
Norwich,CT,41.5495,-72.0882
Olympia,WA,47.0417,-122.8959
Waterbury,CT,41.5582,-73.0361
Salinas,CA,36.6883,-121.6317
Huntington,WV,38.4109,-82.4345
